Designator,Mid X,Mid Y,Rotation,Layer
EC306,205.61,321.18,270,Top
EC307,172.08,323.72,0,Top
EC308,228.98,321.18,270,Top
EC309,232.03,320.67,0,Bottom
EC350,223.9,321.18,270,Top
EC351,221.36,321.18,270,Top
EC352,213.23,321.18,270,Top
EC353,210.69,321.18,270,Top
EC354,208.15,321.18,270,Top
EC355,213.23,304.93,270,Top
EC356,203.07,321.18,270,Top
EC357,200.53,321.18,270,Top
EC358,192.91,321.18,270,Top
EC359,187.83,321.18,270,Top
EC360,182.75,321.18,270,Top
EC361,180.21,321.18,270,Top
EC362,172.08,328.8,0,Bottom
EC363,224.92,320.67,0,Bottom
EC364,226.44,321.18,270,Top
EC365,160.91,321.18,0,Bottom
EC366,160.91,326.26,0,Bottom
EC367,150.24,323.72,0,Bottom
EC368,150.24,326.26,0,Bottom
EC369,128.9,326.26,0,Bottom
EC370,128.9,328.8,0,Bottom
EC371,128.9,323.72,0,Bottom
EC372,128.9,321.18,0,Bottom
EC373,139.57,328.8,0,Bottom
EC374,139.57,326.26,0,Bottom
EC375,139.57,323.72,0,Bottom
EC376,139.57,321.18,0,Bottom
EC377,150.24,328.8,0,Bottom
EC378,150.24,321.18,0,Bottom
EC379,160.91,328.8,0,Bottom
EC410,34.92,333.37,0,Bottom
EC411,34.92,330.83,0,Bottom
EC451,46.61,327.79,270,Top
EC452,54.23,327.79,270,Top
EC453,59.31,327.79,270,Top
EC454,64.39,327.79,270,Top
EC455,66.93,327.79,270,Top
EC456,69.47,327.79,270,Top
EC457,72.01,327.79,270,Top
EC458,74.55,327.79,270,Top
EC459,77.09,327.79,270,Top
EC460,79.63,327.79,270,Top
EC461,82.17,327.79,270,Top
EC462,44.07,327.79,270,Top
EC463,56.77,327.79,270,Top
EC464,61.85,327.79,270,Top
EC976,15.37,255.14,0,Bottom
EC977,15.37,260.22,0,Bottom
EC978,15.37,250.06,0,Bottom
EC979,15.37,244.98,0,Bottom
EC980,15.37,237.36,0,Bottom
EC981,15.37,227.2,0,Bottom
EC982,15.37,232.28,0,Bottom
EC983,15.37,288.16,0,Bottom
EC984,15.37,293.75,0,Bottom
EC985,15.37,283.08,0,Bottom
EC986,15.37,278,0,Bottom
EC987,15.37,272.92,0,Bottom
EC988,15.37,262.76,0,Bottom
EC989,15.37,267.84,0,Bottom
ER175,103.5,327.28,0,Bottom
ER176,96.9,327.28,0,Bottom
ER300,205.61,304.93,270,Top
ER301,185.29,313.05,270,Top
ER302,195.45,313.05,270,Top
ER303,190.37,313.05,270,Top
ER304,197.99,313.05,270,Top
ER305,200.53,304.93,270,Top
ER306,205.61,313.05,270,Top
ER307,177.67,321.18,270,Top
ER350,220.85,313.05,270,Top
ER351,218.31,313.05,270,Top
ER352,213.23,313.05,270,Top
ER353,210.69,313.05,270,Top
ER354,208.15,313.05,270,Top
ER355,210.69,304.93,270,Top
ER356,203.07,313.05,270,Top
ER357,200.53,313.05,270,Top
ER358,192.91,313.05,270,Top
ER359,187.83,313.05,270,Top
ER360,182.75,313.05,270,Top
ER361,180.21,313.05,270,Top
ER362,172.08,326.26,0,Bottom
ER363,232.03,313.05,270,Top
ER367,150.24,323.72,0,Top
ER368,150.24,326.26,0,Top
ER369,128.9,326.26,0,Top
ER370,128.9,328.8,0,Top
ER371,128.9,323.72,0,Top
ER372,128.9,321.18,0,Top
ER373,139.57,328.8,0,Top
ER374,139.57,326.26,0,Top
ER375,139.57,323.72,0,Top
ER376,139.57,321.18,0,Top
ER377,150.24,328.8,0,Top
ER378,150.24,321.18,0,Top
ER379,161.92,329.31,0,Top
ER453,56.77,319.15,270,Top
ER458,74.55,319.66,270,Top
ER459,77.09,319.66,270,Top
ER460,79.63,319.66,270,Top
ER461,82.17,319.66,270,Top
ER475,89.79,327.79,270,Top
ER976,15.37,252.6,0,Bottom
ER977,15.37,257.68,0,Bottom
ER978,15.37,247.52,0,Bottom
ER979,15.37,242.44,0,Bottom
ER980,15.37,239.9,0,Bottom
ER981,15.37,229.74,0,Bottom
ER982,15.37,234.82,0,Bottom
ER983,15.37,290.7,0,Bottom
ER984,15.37,296.29,0,Bottom
ER985,15.37,285.62,0,Bottom
ER986,15.37,280.54,0,Bottom
ER987,15.37,275.46,0,Bottom
ER988,15.37,265.3,0,Bottom
ER989,15.37,270.38,0,Bottom
