Type,Part Id,Quantity,Designator,Name,Footprint,LCSC
Resistor,310026-46,3,"R151,R360,R361","3.3k? - 1/8W, 5%",1206,C304891
Resistor,310026-08,17,"R403C,R403G,R515,R981,R982,R983,R984,R985,R986,R987,R988,R989,R990,R991,R992,R993,R994","4.7k? - 1/8W, 5%",1206,C17936
Resistor,310026-17,21,"R208,R305,R306,R355,R356,R357,R358,R359,R403A,R403B,R403E,R403F,R406,R408,R431,R432,R441,R442,R456,R457,R514","10k? - 1/8W, 5%",1206,C17902
Resistor,310026-55,2,"R902,R903","11k? - 1/8W, 5%",1206,C322822
Resistor,310026-31,1,R180,"100k? - 1/8W, 5%",1206,C17900
Resistor,310026-19,2,"R435,R445","470k? - 1/8W, 5%",1206,C25663
Resistor,391154-27,1,R509,"562? - 1/8W, 1%",1206,C229706
Ferrite,391559-01,12,"FB177,FB308,FB309,FB364,FB365,FB366,FB401,FB462,FB463,FB464,FB476,FB975","47? @ 100MHz, 5A",1812,C963899
Ferrite,391092-03,17,"ER976,ER977,ER978,ER979,ER980,ER981,ER982,ER983,ER984,ER985,ER986,ER987,ER988,ER989,FB410,FB411,FB710","600? @ 100MHz, 200mA",1206,C74486
Socket,,4,"U213,U701,U901,U902","Socket, PLCC20, without location post",PLCC20,C5355988
Socket,,1,U212,"Socket, PLCC28, without location post",PLCC28,C3170889
Socket,,3,"U300,U350,U460","Socket, PLCC44, with location post",PLCC44,C5121464
Socket,,1,U400,"Socket, PLCC52, with location post",PLCC52,C6098950
Socket,,5,"U150,U211,U450,U700,U890","Socket, PLCC84, with location post",PLCC84,C5445002
Oscillator,900560-01,1,Y176,32.768 kHz Crystal,TH,C13712
Socket,,2,"U175, U176","Socket, DIP40",DIP40,C2332
Socket,,1,U178,"Socket, DIP18",DIP18,C2327
Socket,,1,U103,"Socket, DIP20",DIP20,C2328
Connector,903326-03,15,"CN200, CN302, CN303, CN404, J100, J104, J151, J212, J213, J214, J352, J500, J501, J502, J852",3 Pin SIL Header,TH,C429954
Connector,903326-02,1,J351,2 Pin SIL Header,TH,C358684
Connector,903345-17,1,CN351,34 Pin DIL Header,TH,C20920
Connector,903345-20,1,CN900,40 Pin DIL Header,TH,C601944
Connector,390242-01,2,"CN975, CN976",D-Sub DB-9 Male,TH,C3118153
Fuse,390924-01,1,F175,"Varistor Switch, Self Resetting 1.85A",TH,C208484
