RefDes     X          Y          Rot.       Exact     (FREE)    Side
R55        9345.0000  4445.0000  000        EXACT     (FREE)    Top                           
R56        9345.0000  4545.0000  000        EXACT     (FREE)    Top                           
R57        9325.0000  3845.0000  180        EXACT     (FREE)    Bottom                        
R58        9325.0000  3945.0000  180        EXACT     (FREE)    Bottom                        
R59        9325.0000  4045.0000  180        EXACT     (FREE)    Bottom                        
R60        9325.0000  4145.0000  180        EXACT     (FREE)    Bottom                        
R61        9325.0000  4245.0000  180        EXACT     (FREE)    Bottom                        
R62        9325.0000  4345.0000  180        EXACT     (FREE)    Bottom                        
R63        9325.0000  4445.0000  180        EXACT     (FREE)    Bottom                        
R64        9325.0000  4545.0000  180        EXACT     (FREE)    Bottom                        
R65        9325.0000  5005.0000  180        EXACT     (FREE)    Bottom                        
R66        9345.0000  2245.0000  000        EXACT     (FREE)    Top                           
R67        9345.0000  2745.0000  000        EXACT     (FREE)    Top                           
R68        9325.0000  2745.0000  180        EXACT     (FREE)    Bottom                        
R70        9345.0000  2945.0000  000        EXACT     (FREE)    Top                           
R71        5615.0000  5645.0000  180        EXACT     (FREE)    Bottom                        
R72        9325.0000  2245.0000  180        EXACT     (FREE)    Bottom                        
R73        9325.0000  2945.0000  180        EXACT     (FREE)    Bottom                        
R74        9345.0000  5385.0000  000        EXACT     (FREE)    Top                           
R75        9325.0000  2645.0000  180        EXACT     (FREE)    Bottom                        
R76        9325.0000  2545.0000  180        EXACT     (FREE)    Bottom                        
R77        9345.0000  5485.0000  000        EXACT     (FREE)    Top                           
R78        9345.0000  5285.0000  000        EXACT     (FREE)    Top                           
R79        9325.0000  2145.0000  180        EXACT     (FREE)    Bottom                        
R80        9325.0000  2845.0000  180        EXACT     (FREE)    Bottom                        
R81        9345.0000  2345.0000  000        EXACT     (FREE)    Top                           
R82        9345.0000  4645.0000  000        EXACT     (FREE)    Top                           
R83        9345.0000  5585.0000  000        EXACT     (FREE)    Top                           
R84        9325.0000  2345.0000  180        EXACT     (FREE)    Bottom                        
R85        9345.0000  2845.0000  000        EXACT     (FREE)    Top                           
R86        9325.0000  2445.0000  180        EXACT     (FREE)    Bottom                        
R87        9325.0000  5485.0000  180        EXACT     (FREE)    Bottom                        
R88        9325.0000  4905.0000  180        EXACT     (FREE)    Bottom                        
R101       7035.0000  6565.0000  180        EXACT     (FREE)    Bottom                        
R102       7035.0000  6465.0000  180        EXACT     (FREE)    Bottom                        
R103       6688.0000  6085.0000  180        EXACT     (FREE)    Bottom                        
R104       5965.0000  6285.0000  180        EXACT     (FREE)    Bottom                        
R105       6688.0000  5885.0000  180        EXACT     (FREE)    Bottom                        
R106       6688.0000  5785.0000  180        EXACT     (FREE)    Bottom                        
R111       5982.0000  5865.0000  180        EXACT     (FREE)    Bottom                        
R112       6688.0000  5985.0000  180        EXACT     (FREE)    Bottom                        
R120       5645.0000  4175.0000  180        EXACT     (FREE)    Bottom                        
R121       6195.0000  3685.0000  180        EXACT     (FREE)    Bottom                        
R122       6195.0000  3985.0000  180        EXACT     (FREE)    Bottom                        
R125       5655.0000  3105.0000  180        EXACT     (FREE)    Bottom                        
R126       5965.0000  6425.0000  180        EXACT     (FREE)    Bottom                        
R127       6655.0000  6985.0000  000        EXACT     (FREE)    Top                           
R128       6465.0000  6785.0000  180        EXACT     (FREE)    Bottom                        
R151       7675.0000  7845.0000  180        EXACT     (FREE)    Bottom                        
R161       8355.0000  7745.0000  180        EXACT     (FREE)    Bottom                        
R162       7675.0000  7945.0000  180        EXACT     (FREE)    Bottom                        
R165       8305.0000  7925.0000  180        EXACT     (FREE)    Bottom                        
R166       7525.0000  7475.0000  180        EXACT     (FREE)    Bottom                        
R167       7845.0000  8355.0000  000        EXACT     (FREE)    Top                           
R168       7845.0000  8455.0000  000        EXACT     (FREE)    Top                           
R169       8145.0000  8355.0000  000        EXACT     (FREE)    Top                           
R170       8145.0000  8455.0000  000        EXACT     (FREE)    Top                           
R171       7535.0000  6275.0000  180        EXACT     (FREE)    Bottom                        
R172       7535.0000  6375.0000  180        EXACT     (FREE)    Bottom                        
R173       7525.0000  7375.0000  180        EXACT     (FREE)    Bottom                        
R175       1755.0000  6255.0000  180        EXACT     (FREE)    Bottom                        
R176       3695.0000  12485.0000 000        EXACT     (FREE)    Top                           
R177       3475.0000  12485.0000 000        EXACT     (FREE)    Top                           
R178       1755.0000  6355.0000  180        EXACT     (FREE)    Bottom                        
R179       1245.0000  6495.0000  000        EXACT     (FREE)    Top                           
R180       1755.0000  6055.0000  180        EXACT     (FREE)    Bottom                        
R181       1245.0000  6295.0000  180        EXACT     (FREE)    Bottom                        
R182       315.0000   5615.0000  180        EXACT     (FREE)    Bottom                        
R206       3075.0000  11835.0000 000        EXACT     (FREE)    Top                           
R207       3175.0000  11835.0000 000        EXACT     (FREE)    Top                           
R208       3275.0000  11835.0000 000        EXACT     (FREE)    Top                           
R211       855.0000   7845.0000  180        EXACT     (FREE)    Bottom                        
R212       1255.0000  8625.0000  180        EXACT     (FREE)    Bottom                        
R213       1585.0000  10135.0000 180        EXACT     (FREE)    Bottom                        
R214       855.0000   8045.0000  180        EXACT     (FREE)    Bottom                        
R215       1245.0000  8175.0000  180        EXACT     (FREE)    Bottom                        
R216       855.0000   7745.0000  180        EXACT     (FREE)    Bottom                        
R217       855.0000   7945.0000  180        EXACT     (FREE)    Bottom                        
R218       855.0000   7645.0000  180        EXACT     (FREE)    Bottom                        
R222       1455.0000  8935.0000  180        EXACT     (FREE)    Bottom                        
R223       1735.0000  8935.0000  180        EXACT     (FREE)    Bottom                        
R231       2055.0000  8915.0000  180        EXACT     (FREE)    Bottom                        
R232       2055.0000  8815.0000  180        EXACT     (FREE)    Bottom                        
R233       2055.0000  8715.0000  180        EXACT     (FREE)    Bottom                        
R234       2055.0000  8615.0000  180        EXACT     (FREE)    Bottom                        
R235       2055.0000  8515.0000  180        EXACT     (FREE)    Bottom                        
R236       2055.0000  8415.0000  180        EXACT     (FREE)    Bottom                        
R237       2055.0000  8315.0000  180        EXACT     (FREE)    Bottom                        
R239       1595.0000  7515.0000  000        EXACT     (FREE)    Top                           
R240       1595.0000  7515.0000  180        EXACT     (FREE)    Bottom                        
R241       1345.0000  7515.0000  180        EXACT     (FREE)    Bottom                        
R242       1345.0000  7415.0000  180        EXACT     (FREE)    Bottom                        
R243       1595.0000  7415.0000  180        EXACT     (FREE)    Bottom                        
R244       1345.0000  7315.0000  180        EXACT     (FREE)    Bottom                        
R245       1595.0000  7315.0000  180        EXACT     (FREE)    Bottom                        
R246       1345.0000  7215.0000  180        EXACT     (FREE)    Bottom                        
R247       1595.0000  7215.0000  180        EXACT     (FREE)    Bottom                        
R248       1345.0000  7115.0000  180        EXACT     (FREE)    Bottom                        
R249       1595.0000  7115.0000  180        EXACT     (FREE)    Bottom                        
R301       335.0000   745.0000   180        EXACT     (FREE)    Bottom                        
R302       8495.0000  12325.0000 000        EXACT     (FREE)    Top                           
R305       6775.0000  12745.0000 180        EXACT     (FREE)    Bottom                        
R306       6775.0000  12645.0000 000        EXACT     (FREE)    Top                           
R307       335.0000   645.0000   180        EXACT     (FREE)    Bottom                        
R311       335.0000   945.0000   180        EXACT     (FREE)    Bottom                        
R355       8895.0000  11945.0000 180        EXACT     (FREE)    Bottom                        
R356       8575.0000  12005.0000 000        EXACT     (FREE)    Top                           
R357       7835.0000  11705.0000 180        EXACT     (FREE)    Bottom                        
R358       7835.0000  11605.0000 180        EXACT     (FREE)    Bottom                        
R359       6335.0000  12745.0000 180        EXACT     (FREE)    Bottom                        
R360       8895.0000  11845.0000 180        EXACT     (FREE)    Bottom                        
R361       8895.0000  12045.0000 180        EXACT     (FREE)    Bottom                        
R371       8895.0000  12315.0000 180        EXACT     (FREE)    Bottom                        
R381       6235.0000  11445.0000 000        EXACT     (FREE)    Top                           
R382       6645.0000  10665.0000 180        EXACT     (FREE)    Bottom                        
R383       8835.0000  12305.0000 000        EXACT     (FREE)    Top                           
R400       1975.0000  12265.0000 000        EXACT     (FREE)    Top                           
R401       1255.0000  11945.0000 180        EXACT     (FREE)    Bottom                        
R402       1295.0000  12325.0000 180        EXACT     (FREE)    Bottom                        
R403       1295.0000  12225.0000 180        EXACT     (FREE)    Bottom                        
R403A      995.0000   13125.0000 000        EXACT     (FREE)    Top                           
R403B      705.0000   13165.0000 180        EXACT     (FREE)    Bottom                        
R403C      995.0000   13125.0000 180        EXACT     (FREE)    Bottom                        
R403D      995.0000   13025.0000 180        EXACT     (FREE)    Bottom                        
R403E      995.0000   12825.0000 180        EXACT     (FREE)    Bottom                        
R403F      635.0000   12805.0000 180        EXACT     (FREE)    Bottom                        
R403G      995.0000   12825.0000 000        EXACT     (FREE)    Top                           
R403H      995.0000   12925.0000 000        EXACT     (FREE)    Top                           
R404       995.0000   12525.0000 180        EXACT     (FREE)    Bottom                        
R405       1295.0000  12105.0000 180        EXACT     (FREE)    Bottom                        
R406       995.0000   12225.0000 180        EXACT     (FREE)    Bottom                        
R407       295.0000   12225.0000 180        EXACT     (FREE)    Bottom                        
R408       295.0000   12725.0000 180        EXACT     (FREE)    Bottom                        
R430       995.0000   11925.0000 180        EXACT     (FREE)    Bottom                        
R431       355.0000   11825.0000 180        EXACT     (FREE)    Bottom                        
R432       395.0000   11925.0000 000        EXACT     (FREE)    Top                           
R433       995.0000   12625.0000 180        EXACT     (FREE)    Bottom                        
R434       995.0000   13025.0000 000        EXACT     (FREE)    Top                           
R435       995.0000   12125.0000 180        EXACT     (FREE)    Bottom                        
R440       995.0000   12425.0000 180        EXACT     (FREE)    Bottom                        
R441       295.0000   12625.0000 180        EXACT     (FREE)    Bottom                        
R442       295.0000   12525.0000 180        EXACT     (FREE)    Bottom                        
R443       995.0000   12725.0000 000        EXACT     (FREE)    Top                           
R444       995.0000   12925.0000 180        EXACT     (FREE)    Bottom                        
R445       295.0000   12925.0000 180        EXACT     (FREE)    Bottom                        
R451       3815.0000  11245.0000 180        EXACT     (FREE)    Bottom                        
R455A      4275.0000  10395.0000 180        EXACT     (FREE)    Bottom                        
R455B      4275.0000  10315.0000 180        EXACT     (FREE)    Bottom                        
R455C      4275.0000  10235.0000 180        EXACT     (FREE)    Bottom                        
R455D      4275.0000  10155.0000 180        EXACT     (FREE)    Bottom                        
R455E      4275.0000  10075.0000 180        EXACT     (FREE)    Bottom                        
R455F      4275.0000  9995.0000  180        EXACT     (FREE)    Bottom                        
R455G      4275.0000  9915.0000  180        EXACT     (FREE)    Bottom                        
R455H      4505.0000  10015.0000 180        EXACT     (FREE)    Bottom                        
R456       2445.0000  12275.0000 000        EXACT     (FREE)    Top                           
R456A      4665.0000  11075.0000 000        EXACT     (FREE)    Top                           
R456B      4665.0000  10995.0000 000        EXACT     (FREE)    Top                           
R456C      4665.0000  10915.0000 000        EXACT     (FREE)    Top                           
R456D      4665.0000  10835.0000 000        EXACT     (FREE)    Top                           
R456E      4665.0000  10755.0000 000        EXACT     (FREE)    Top                           
R456F      4665.0000  10675.0000 000        EXACT     (FREE)    Top                           
R456G      4665.0000  10595.0000 000        EXACT     (FREE)    Top                           
R456H      4665.0000  10515.0000 000        EXACT     (FREE)    Top                           
R457       2735.0000  12425.0000 180        EXACT     (FREE)    Bottom                        
R457A      4805.0000  11695.0000 000        EXACT     (FREE)    Top                           
R457B      4805.0000  11615.0000 000        EXACT     (FREE)    Top                           
R457C      4805.0000  11535.0000 000        EXACT     (FREE)    Top                           
R457D      4805.0000  11455.0000 000        EXACT     (FREE)    Top                           
R457E      4805.0000  11375.0000 000        EXACT     (FREE)    Top                           
R457F      4805.0000  11295.0000 000        EXACT     (FREE)    Top                           
R457G      4805.0000  11215.0000 000        EXACT     (FREE)    Top                           
R457H      4665.0000  11075.0000 000        EXACT     (FREE)    Top                           
R458       2445.0000  12025.0000 000        EXACT     (FREE)    Top                           
R458A      3975.0000  11635.0000 000        EXACT     (FREE)    Top                           
R458B      4075.0000  11635.0000 000        EXACT     (FREE)    Top                           
R459       2835.0000  12585.0000 000        EXACT     (FREE)    Top                           
R460       2735.0000  12585.0000 000        EXACT     (FREE)    Top                           
R461       2635.0000  12585.0000 000        EXACT     (FREE)    Top                           
R462       2535.0000  12585.0000 000        EXACT     (FREE)    Top                           
R463       2035.0000  12905.0000 000        EXACT     (FREE)    Top                           
R464       1935.0000  12905.0000 000        EXACT     (FREE)    Top                           
R465       2575.0000  10465.0000 180        EXACT     (FREE)    Bottom                        
R500       3825.0000  8485.0000  180        EXACT     (FREE)    Bottom                        
R501       4095.0000  8585.0000  180        EXACT     (FREE)    Bottom                        
R502       4845.0000  8925.0000  180        EXACT     (FREE)    Bottom                        
R503       3915.0000  8955.0000  180        EXACT     (FREE)    Bottom                        
R504       3825.0000  8585.0000  180        EXACT     (FREE)    Bottom                        
R505       4595.0000  9382.0000  000        EXACT     (FREE)    Top                           
R506       4095.0000  8685.0000  180        EXACT     (FREE)    Bottom                        
R507       3515.0000  12045.0000 000        EXACT     (FREE)    Top                           
R508       3825.0000  8685.0000  180        EXACT     (FREE)    Bottom                        
R509       2865.0000  10575.0000 180        EXACT     (FREE)    Bottom                        
R510       2265.0000  10735.0000 180        EXACT     (FREE)    Bottom                        
R511       2265.0000  10835.0000 180        EXACT     (FREE)    Bottom                        
R512       2855.0000  11725.0000 000        EXACT     (FREE)    Top                           
R513       5105.0000  12025.0000 000        EXACT     (FREE)    Top                           
R514       2245.0000  12275.0000 000        EXACT     (FREE)    Top                           
R515       4595.0000  9635.0000  000        EXACT     (FREE)    Top                           
R520       4195.0000  9635.0000  000        EXACT     (FREE)    Top                           
R521       4195.0000  9385.0000  000        EXACT     (FREE)    Top                           
R522       4295.0000  9635.0000  000        EXACT     (FREE)    Top                           
R523       4295.0000  9385.0000  000        EXACT     (FREE)    Top                           
R524       4395.0000  9635.0000  000        EXACT     (FREE)    Top                           
R525       4395.0000  9385.0000  000        EXACT     (FREE)    Top                           
R526       4495.0000  9635.0000  000        EXACT     (FREE)    Top                           
R527       4495.0000  9385.0000  000        EXACT     (FREE)    Top                           
R528       3795.0000  9635.0000  000        EXACT     (FREE)    Top                           
R529       3795.0000  9385.0000  000        EXACT     (FREE)    Top                           
R530       3895.0000  9635.0000  000        EXACT     (FREE)    Top                           
R531       3895.0000  9385.0000  000        EXACT     (FREE)    Top                           
R532       3995.0000  9635.0000  000        EXACT     (FREE)    Top                           
R533       3995.0000  9385.0000  000        EXACT     (FREE)    Top                           
R534       4095.0000  9635.0000  000        EXACT     (FREE)    Top                           
R535       4095.0000  9385.0000  000        EXACT     (FREE)    Top                           
R536       3395.0000  9635.0000  000        EXACT     (FREE)    Top                           
R537       3395.0000  9385.0000  000        EXACT     (FREE)    Top                           
R538       3495.0000  9635.0000  000        EXACT     (FREE)    Top                           
R539       3495.0000  9385.0000  000        EXACT     (FREE)    Top                           
R540       3595.0000  9635.0000  000        EXACT     (FREE)    Top                           
R541       3595.0000  9385.0000  000        EXACT     (FREE)    Top                           
R542       3695.0000  9635.0000  000        EXACT     (FREE)    Top                           
R543       3695.0000  9385.0000  000        EXACT     (FREE)    Top                           
R545       3515.0000  12145.0000 000        EXACT     (FREE)    Top                           
R546       4105.0000  12025.0000 000        EXACT     (FREE)    Top                           
R547       3495.0000  11295.0000 000        EXACT     (FREE)    Top                           
R548       3545.0000  11225.0000 180        EXACT     (FREE)    Bottom                        
R612       3515.0000  5345.0000  180        EXACT     (FREE)    Bottom                        
R613       5655.0000  2985.0000  180        EXACT     (FREE)    Bottom                        
R614       4605.0000  4585.0000  180        EXACT     (FREE)    Bottom                        
R615       6045.0000  3435.0000  180        EXACT     (FREE)    Bottom                        
R616       6195.0000  3885.0000  180        EXACT     (FREE)    Bottom                        
R617       3815.0000  5845.0000  180        EXACT     (FREE)    Bottom                        
R618       3815.0000  5745.0000  180        EXACT     (FREE)    Bottom                        
R619       3515.0000  5645.0000  180        EXACT     (FREE)    Bottom                        
R620       3515.0000  5545.0000  180        EXACT     (FREE)    Bottom                        
R621       3815.0000  5645.0000  180        EXACT     (FREE)    Bottom                        
R622       3815.0000  5545.0000  180        EXACT     (FREE)    Bottom                        
R623       3815.0000  5245.0000  180        EXACT     (FREE)    Bottom                        
R624       5675.0000  6095.0000  180        EXACT     (FREE)    Bottom                        
R625       5615.0000  5505.0000  180        EXACT     (FREE)    Bottom                        
R626       5615.0000  5405.0000  180        EXACT     (FREE)    Bottom                        
R630       3815.0000  5145.0000  180        EXACT     (FREE)    Bottom                        
R631       5675.0000  5995.0000  180        EXACT     (FREE)    Bottom                        
R632       3815.0000  5445.0000  180        EXACT     (FREE)    Bottom                        
R633       3515.0000  5445.0000  180        EXACT     (FREE)    Bottom                        
R634       3815.0000  5345.0000  180        EXACT     (FREE)    Bottom                        
R635       4605.0000  5205.0000  180        EXACT     (FREE)    Bottom                        
R639       5945.0000  3105.0000  180        EXACT     (FREE)    Bottom                        
R651       6195.0000  3785.0000  180        EXACT     (FREE)    Bottom                        
R652       3515.0000  5845.0000  180        EXACT     (FREE)    Bottom                        
R660       8615.0000  5355.0000  180        EXACT     (FREE)    Bottom                        
R661       8745.0000  5515.0000  180        EXACT     (FREE)    Bottom                        
R701       2185.0000  7835.0000  180        EXACT     (FREE)    Bottom                        
R702       1595.0000  7415.0000  000        EXACT     (FREE)    Top                           
R703       2185.0000  7635.0000  180        EXACT     (FREE)    Bottom                        
R704       2185.0000  7735.0000  180        EXACT     (FREE)    Bottom                        
R708       1595.0000  7015.0000  180        EXACT     (FREE)    Bottom                        
R709       1345.0000  7015.0000  180        EXACT     (FREE)    Bottom                        
R710       1245.0000  6795.0000  180        EXACT     (FREE)    Bottom                        
R711       1245.0000  6695.0000  180        EXACT     (FREE)    Bottom                        
R712       1245.0000  6595.0000  180        EXACT     (FREE)    Bottom                        
R720       1755.0000  6055.0000  000        EXACT     (FREE)    Top                           
R721       1335.0000  7665.0000  180        EXACT     (FREE)    Bottom                        
R722       1795.0000  7935.0000  180        EXACT     (FREE)    Bottom                        
R861       6205.0000  765.0000   180        EXACT     (FREE)    Bottom                        
R862       7625.0000  2245.0000  180        EXACT     (FREE)    Bottom                        
R871       5475.0000  1285.0000  180        EXACT     (FREE)    Bottom                        
R881       6735.0000  1805.0000  180        EXACT     (FREE)    Bottom                        
R882       6995.0000  1905.0000  180        EXACT     (FREE)    Bottom                        
R883       6995.0000  1805.0000  180        EXACT     (FREE)    Bottom                        
R884       6735.0000  1705.0000  180        EXACT     (FREE)    Bottom                        
R885       6995.0000  1705.0000  180        EXACT     (FREE)    Bottom                        
R886       6735.0000  1605.0000  180        EXACT     (FREE)    Bottom                        
R887       6995.0000  1605.0000  180        EXACT     (FREE)    Bottom                        
R888       6735.0000  1505.0000  180        EXACT     (FREE)    Bottom                        
R889       6995.0000  1505.0000  180        EXACT     (FREE)    Bottom                        
R890       6735.0000  1405.0000  180        EXACT     (FREE)    Bottom                        
R891       6995.0000  1405.0000  180        EXACT     (FREE)    Bottom                        
R892       6735.0000  1285.0000  180        EXACT     (FREE)    Bottom                        
R893       6995.0000  1285.0000  180        EXACT     (FREE)    Bottom                        
R894       6735.0000  1165.0000  180        EXACT     (FREE)    Bottom                        
R895       6995.0000  1165.0000  180        EXACT     (FREE)    Bottom                        
R896       6735.0000  1065.0000  180        EXACT     (FREE)    Bottom                        
R897       6995.0000  1065.0000  180        EXACT     (FREE)    Bottom                        
R898       6735.0000  965.0000   180        EXACT     (FREE)    Bottom                        
R899       6995.0000  965.0000   180        EXACT     (FREE)    Bottom                        
R902       6715.0000  9405.0000  000        EXACT     (FREE)    Top                           
R903       5675.0000  6485.0000  180        EXACT     (FREE)    Bottom                        
R904       5645.0000  4305.0000  180        EXACT     (FREE)    Bottom                        
R905       5805.0000  8665.0000  180        EXACT     (FREE)    Bottom                        
R911       6855.0000  9595.0000  180        EXACT     (FREE)    Bottom                        
R912       6255.0000  10845.0000 000        EXACT     (FREE)    Top                           
R975       315.0000   5715.0000  180        EXACT     (FREE)    Bottom                        
R981       315.0000   6215.0000  000        EXACT     (FREE)    Top                           
R982       315.0000   6015.0000  000        EXACT     (FREE)    Top                           
R983       315.0000   6115.0000  000        EXACT     (FREE)    Top                           
R984       315.0000   5915.0000  000        EXACT     (FREE)    Top                           
R985       315.0000   6315.0000  000        EXACT     (FREE)    Top                           
R986       315.0000   6315.0000  180        EXACT     (FREE)    Bottom                        
R987       315.0000   6115.0000  180        EXACT     (FREE)    Bottom                        
R988       315.0000   6215.0000  180        EXACT     (FREE)    Bottom                        
R989       315.0000   5815.0000  000        EXACT     (FREE)    Top                           
R990       315.0000   6015.0000  180        EXACT     (FREE)    Bottom                        
R991       315.0000   5915.0000  180        EXACT     (FREE)    Bottom                        
R992       315.0000   5815.0000  180        EXACT     (FREE)    Bottom                        
R993       315.0000   5615.0000  000        EXACT     (FREE)    Top                           
R994       315.0000   5715.0000  000        EXACT     (FREE)    Top                           
RP176      1045.0000  5685.0000  000        EXACT     (FREE)    Top                           
RP351      6505.0000  12405.0000 000        EXACT     (FREE)    Top                           
RP461      4955.0000  11305.0000 000        EXACT     (FREE)    Top                           
RP462      4815.0000  10715.0000 000        EXACT     (FREE)    Top                           
RP463      4975.0000  10245.0000 000        EXACT     (FREE)    Top                           
U102       7065.0000  6045.0000  000        EXACT     (FREE)    Top                           
U103       6305.0000  6015.0000  000        EXACT     (FREE)    Top                           
U104       7555.0000  6235.0000  000        EXACT     (FREE)    Top                           
U106       6745.0000  6615.2000  000        EXACT     (FREE)    Top                           
U130       5675.0000  2685.0000  000        EXACT     (FREE)    Top                           
U131       4715.0000  11965.0000 000        EXACT     (FREE)    Top                           
U140       5675.0000  3225.0000  000        EXACT     (FREE)    Top                           
U141       5675.0000  3805.0000  000        EXACT     (FREE)    Top                           
U145       8660.0000  820.0000   000        EXACT     (FREE)    Top                           
U150       7495.0000  7565.0000  000        EXACT     (FREE)    Top                           
U152       6435.0000  7905.0000  000        EXACT     (FREE)    Top                           
U154       8565.0000  7305.0000  000        EXACT     (FREE)    Top                           
U175       7675.0000  3955.0000  000        EXACT     (FREE)    Top                           
U176       6935.0000  3955.0000  000        EXACT     (FREE)    Top                           
U177       725.0000   5675.0000  000        EXACT     (FREE)    Top                           
U178       1345.0000  5725.0000  000        EXACT     (FREE)    Top                           
U198       4325.0000  12485.0000 000        EXACT     (FREE)    Top                           
U205       3185.0000  12195.0000 000        EXACT     (FREE)    Top                           
U211       1895.0000  9785.0000  000        EXACT     (FREE)    Top                           
U212       1645.0000  8565.0000  000        EXACT     (FREE)    Top                           
U213       905.0000   8425.0000  000        EXACT     (FREE)    Top                           
U215       1295.0000  7845.0000  000        EXACT     (FREE)    Top                           
U216       975.0000   7215.0000  000        EXACT     (FREE)    Top                           
U250       3545.0000  1765.0000  000        EXACT     (FREE)    Top                           
U261       2817.5000  2302.5000  000        EXACT     (FREE)    Top                           
U300       7735.0000  11285.0000 000        EXACT     (FREE)    Top                           
U304       6235.0000  11825.0000 000        EXACT     (FREE)    Top                           
U305       6695.0000  11825.0000 000        EXACT     (FREE)    Top                           
U311       335.0000   1365.0000  000        EXACT     (FREE)    Top                           
U350       8835.0000  11265.0000 000        EXACT     (FREE)    Top                           
U351       6235.0000  11205.0000 000        EXACT     (FREE)    Top                           
U352       5775.0000  11205.0000 000        EXACT     (FREE)    Top                           
U353       5775.0000  11825.0000 000        EXACT     (FREE)    Top                           
U354       5785.0000  10545.0000 000        EXACT     (FREE)    Top                           
U355       6695.0000  11205.0000 000        EXACT     (FREE)    Top                           
U400       1425.0000  11225.0000 000        EXACT     (FREE)    Top                           
U402       635.0000   12205.0000 000        EXACT     (FREE)    Top                           
U403       665.0000   12995.0000 000        EXACT     (FREE)    Top                           
U450       3985.0000  8535.0000  000        EXACT     (FREE)    Top                           
U455       4015.0000  10145.0000 000        EXACT     (FREE)    Top                           
U456       4275.0000  10785.0000 000        EXACT     (FREE)    Top                           
U457       4410.0000  11420.0000 000        EXACT     (FREE)    Top                           
U458       3665.0000  11725.0000 000        EXACT     (FREE)    Top                           
U459       3755.0000  11185.0000 000        EXACT     (FREE)    Top                           
U460       2925.0000  11115.0000 000        EXACT     (FREE)    Top                           
U700       3675.0000  5435.0000  000        EXACT     (FREE)    Top                           
U701       1665.0000  6705.0000  000        EXACT     (FREE)    Top                           
U702       4515.0000  6705.0000  000        EXACT     (FREE)    Top                           
U703       3955.0000  4375.0000  000        EXACT     (FREE)    Top                           
U704       4255.0000  7365.0000  000        EXACT     (FREE)    Top                           
U706       3365.0000  7165.0000  000        EXACT     (FREE)    Top                           
U707       3955.0000  3015.0000  000        EXACT     (FREE)    Top                           
U708       3955.0000  3645.0000  000        EXACT     (FREE)    Top                           
U710       2675.0000  12195.0000 000        EXACT     (FREE)    Top                           
U711       1785.0000  7855.0000  000        EXACT     (FREE)    Top                           
U714       3455.0000  6435.0000  000        EXACT     (FREE)    Top                           
U850       817.5000   2302.5000  000        EXACT     (FREE)    Top                           
U851       1317.5000  2302.5000  000        EXACT     (FREE)    Top                           
U852       1817.5000  2302.5000  000        EXACT     (FREE)    Top                           
U853       2317.5000  2302.5000  000        EXACT     (FREE)    Top                           
U860       5745.0000  845.0000   000        EXACT     (FREE)    Top                           
U890       6815.0000  1505.0000  000        EXACT     (FREE)    Top                           
U891       1615.0000  4895.0000  000        EXACT     (FREE)    Top                           
U892       4875.0000  795.0000   000        EXACT     (FREE)    Top                           
U893       4065.0000  645.0000   000        EXACT     (FREE)    Top                           
U894       3385.0000  645.0000   000        EXACT     (FREE)    Top                           
U901       5965.0000  9815.0000  000        EXACT     (FREE)    Top                           
U902       6875.0000  9765.0000  000        EXACT     (FREE)    Top                           
U903       7795.0000  9665.0000  000        EXACT     (FREE)    Top                           
U904       7935.0000  10285.0000 000        EXACT     (FREE)    Top                           
U907       6245.0000  10545.0000 000        EXACT     (FREE)    Top                           
U975       725.0000   6535.0000  000        EXACT     (FREE)    Top                           
U976       725.0000   6095.0000  000        EXACT     (FREE)    Top                           
VC190      1745.0000  5825.0000  000        EXACT     (FREE)    Top                           
Y176       1695.0000  5475.0000  000        EXACT     (FREE)    Top                           
