RefDes     X          Y          Rot.       Exact     (FREE)    Side
C459       3785.0000  10965.0000 180        EXACT     (FREE)    Bottom                        
C460A      3075.0000  11055.0000 180        EXACT     (FREE)    Bottom                        
C460B      3075.0000  10955.0000 180        EXACT     (FREE)    Bottom                        
C460C      2825.0000  10855.0000 180        EXACT     (FREE)    Bottom                        
C460D      2825.0000  10955.0000 180        EXACT     (FREE)    Bottom                        
C460E      3075.0000  10855.0000 180        EXACT     (FREE)    Bottom                        
C460F      3075.0000  11155.0000 180        EXACT     (FREE)    Bottom                        
C460G      2655.0000  11905.0000 000        EXACT     (FREE)    Top                           
C485       3775.0000  11105.0000 180        EXACT     (FREE)    Bottom                        
C500       2865.0000  10465.0000 180        EXACT     (FREE)    Bottom                        
C511       1825.0000  12555.0000 000        EXACT     (FREE)    Top                           
C512       1925.0000  12555.0000 000        EXACT     (FREE)    Top                           
C513       2345.0000  12275.0000 000        EXACT     (FREE)    Top                           
C700       3515.0000  5165.0000  180        EXACT     (FREE)    Bottom                        
C701       1245.0000  6495.0000  000        EXACT     (FREE)    Top                           
C702       4955.0000  6945.0000  180        EXACT     (FREE)    Bottom                        
C703       4030.0000  4595.0000  180        EXACT     (FREE)    Bottom                        
C704       4255.0000  7525.0000  180        EXACT     (FREE)    Bottom                        
C706       3372.0000  7575.0000  180        EXACT     (FREE)    Bottom                        
C707       3955.0000  3215.0000  180        EXACT     (FREE)    Bottom                        
C708       3992.0000  3975.0000  000        EXACT     (FREE)    Top                           
C710       2695.0000  11945.0000 180        EXACT     (FREE)    Bottom                        
C711       1795.0000  8105.0000  000        EXACT     (FREE)    Top                           
C714       3155.0000  6565.0000  180        EXACT     (FREE)    Bottom                        
C860       5752.0000  885.0000   180        EXACT     (FREE)    Bottom                        
C890       6735.0000  1905.0000  180        EXACT     (FREE)    Bottom                        
C891       1615.0000  5195.0000  180        EXACT     (FREE)    Bottom                        
C892       4655.0000  855.0000   180        EXACT     (FREE)    Bottom                        
C893       3735.0000  595.0000   000        EXACT     (FREE)    Top                           
C894       3055.0000  682.0000   000        EXACT     (FREE)    Top                           
C901       5985.0000  9805.0000  180        EXACT     (FREE)    Bottom                        
